epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1779.6,1.04498,0.74186,1.17082,0.91675,0.85549,0.9284,0.68907,1.06133,0.5996,1.11776,0.00113898,0.00113898,0.00113898
43,1821.44,1.06951,0.74875,1.18578,0.90896,0.87873,0.93156,0.69764,1.03529,0.56074,1.10506,0.00113191,0.00113191,0.00113191
44,1863.41,1.04684,0.72947,1.16188,0.90842,0.88441,0.94097,0.70198,1.02996,0.54072,1.09782,0.00112484,0.00112484,0.00112484
45,1905.19,1.05393,0.73819,1.16793,0.90946,0.8906,0.939,0.70788,1.02396,0.53989,1.08238,0.00111776,0.00111776,0.00111776
46,1947.36,1.054,0.73691,1.16683,0.92742,0.87105,0.93973,0.71476,1.02444,0.53743,1.09133,0.00111069,0.00111069,0.00111069
47,1989.36,1.05594,0.73148,1.16403,0.89824,0.89824,0.93949,0.7065,1.03521,0.53852,1.1123,0.00110362,0.00110362,0.00110362
48,2030.67,1.02351,0.70818,1.15788,0.92417,0.88961,0.94729,0.71299,1.02272,0.54164,1.08799,0.00109654,0.00109654,0.00109654
49,2072.14,1.0265,0.69741,1.14846,0.89663,0.89886,0.93822,0.70995,1.01546,0.54508,1.08992,0.00108947,0.00108947,0.00108947
50,2113.85,1.03935,0.71639,1.1577,0.88843,0.85923,0.91523,0.68474,1.03936,0.60227,1.10428,0.0010824,0.0010824,0.0010824
51,2155.36,1.03076,0.70523,1.158,0.90777,0.90196,0.9437,0.72083,1.0054,0.5069,1.0775,0.00107532,0.00107532,0.00107532
52,2197.49,1.02328,0.68875,1.14987,0.90324,0.91166,0.94423,0.72164,1.01683,0.51969,1.08959,0.00106825,0.00106825,0.00106825
53,2239.32,1.03523,0.6996,1.16055,0.91873,0.88624,0.94293,0.71573,1.01546,0.52179,1.08707,0.00106118,0.00106118,0.00106118
54,2281.14,1.02388,0.69407,1.15025,0.91441,0.90489,0.94828,0.7252,0.99536,0.50808,1.06877,0.0010541,0.0010541,0.0010541
55,2322.69,0.99062,0.68018,1.13879,0.92555,0.89307,0.9477,0.72794,0.98757,0.49825,1.06026,0.00104703,0.00104703,0.00104703
56,2364.55,1.00779,0.67785,1.1445,0.91903,0.92409,0.95381,0.73654,0.98663,0.48835,1.06121,0.00103995,0.00103995,0.00103995
57,2406.3,1.00581,0.67103,1.13852,0.93772,0.8957,0.94867,0.72836,0.98852,0.49242,1.06639,0.00103288,0.00103288,0.00103288
58,2448.04,0.98985,0.65521,1.12996,0.92442,0.90349,0.94577,0.73022,0.98217,0.49382,1.05463,0.00102581,0.00102581,0.00102581
59,2489.59,0.99044,0.66839,1.12489,0.91954,0.90334,0.94713,0.72896,1.00284,0.48891,1.07322,0.00101873,0.00101873,0.00101873
60,2531.68,0.9925,0.65907,1.13366,0.91206,0.90809,0.94442,0.72861,0.99404,0.50426,1.07522,0.00101166,0.00101166,0.00101166
