epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,7580.08,0.68969,0.40892,0.98295,0.9343,0.94946,0.96415,0.78445,0.91255,0.39111,1.04887,0.000162835,0.000162835,0.000162835
181,7622.28,0.68634,0.40727,0.98666,0.93876,0.94483,0.96396,0.78459,0.91075,0.39098,1.04687,0.000155761,0.000155761,0.000155761
182,7664.38,0.70154,0.40782,0.99018,0.94873,0.93244,0.96408,0.78485,0.9101,0.39049,1.04508,0.000148687,0.000148687,0.000148687
183,7706.41,0.68733,0.40482,0.98664,0.9552,0.92882,0.96441,0.78591,0.90898,0.3899,1.04511,0.000141614,0.000141614,0.000141614
184,7748.66,0.68312,0.40401,0.985,0.95177,0.92962,0.96359,0.78579,0.91121,0.38851,1.04608,0.00013454,0.00013454,0.00013454
185,7790.68,0.69122,0.40159,0.98381,0.95334,0.92832,0.96415,0.78487,0.91059,0.38842,1.04563,0.000127467,0.000127467,0.000127467
186,7832.55,0.69085,0.40606,0.98985,0.93559,0.94485,0.96426,0.78411,0.90948,0.3902,1.04445,0.000120393,0.000120393,0.000120393
187,7874.52,0.68851,0.40654,0.98505,0.94354,0.93438,0.96377,0.78484,0.90823,0.3906,1.0432,0.00011332,0.00011332,0.00011332
188,7916.84,0.67248,0.40004,0.9818,0.94244,0.93643,0.96429,0.78487,0.90876,0.39033,1.04384,0.000106246,0.000106246,0.000106246
189,7959.01,0.69013,0.40331,0.99028,0.9493,0.93028,0.96413,0.78471,0.90929,0.39028,1.04439,9.91726e-05,9.91726e-05,9.91726e-05
190,8001.18,0.66151,0.38566,0.97625,0.95754,0.92679,0.96492,0.78523,0.90916,0.39198,1.04352,9.20991e-05,9.20991e-05,9.20991e-05
191,8046.71,0.64356,0.32433,0.94952,0.95961,0.92257,0.96381,0.78533,0.91035,0.38993,1.04386,8.50255e-05,8.50255e-05,8.50255e-05
192,8087.95,0.62038,0.30946,0.93602,0.95675,0.92325,0.96316,0.78412,0.91154,0.39143,1.04537,7.7952e-05,7.7952e-05,7.7952e-05
193,8129.29,0.61528,0.30501,0.93366,0.95561,0.92568,0.9625,0.78336,0.91262,0.39436,1.04608,7.08784e-05,7.08784e-05,7.08784e-05
194,8170.72,0.6231,0.30065,0.93734,0.95755,0.9254,0.96206,0.78096,0.91445,0.39548,1.04784,6.38049e-05,6.38049e-05,6.38049e-05
195,8212.15,0.60701,0.29905,0.93483,0.95531,0.92782,0.96223,0.78186,0.91436,0.3963,1.04689,5.67313e-05,5.67313e-05,5.67313e-05
196,8253.52,0.61483,0.29974,0.93033,0.95589,0.92754,0.96236,0.78301,0.91444,0.39617,1.04788,4.96578e-05,4.96578e-05,4.96578e-05
197,8294.8,0.60823,0.29603,0.93092,0.95153,0.93163,0.96234,0.78405,0.91327,0.39579,1.04734,4.25842e-05,4.25842e-05,4.25842e-05
198,8336.16,0.60537,0.29751,0.93198,0.95166,0.93082,0.96256,0.78404,0.91256,0.39587,1.04696,3.55107e-05,3.55107e-05,3.55107e-05
199,8377.39,0.59601,0.29011,0.92768,0.95057,0.93099,0.9625,0.78457,0.91292,0.39585,1.04788,2.84371e-05,2.84371e-05,2.84371e-05
200,8418.91,0.60386,0.29199,0.93806,0.95313,0.92625,0.96244,0.78505,0.9127,0.39604,1.04817,2.13636e-05,2.13636e-05,2.13636e-05
